NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Clean Cosy Centre City Apartment,IE,Ireland,53.35262823,-6.251570173,Entire home/apt,6,1,1,5,$90.00 
5 Star Luxury by Trinity,IE,Ireland,53.34540545,-6.264500523,Entire home/apt,4,1,1,2,$100.00 
Modern 2 Bedroom Apt in Dublin City,IE,Ireland,53.34066057,-6.275843108,Entire home/apt,5,1,2,4,$135.00 
Room for Ireland v England Rugby ,IE,Ireland,53.33123401,-6.234280478,Private room,1,1,1,1,$100.00 
Spacious bedroom with sea views.,IE,Ireland,53.32537235,-6.208013151,Private room,2,1,1,1,$90.00 
"Dublin, City Center, Canal View",IE,Ireland,53.34216493,-6.235452851,Private room,1,1,1,1,$70.00 
Your private Bedroom-City Center,IE,Ireland,53.35363025,-6.260058892,Private room,2,1,1,1,$70.00 
Quirky Victorian terrace in heart of old Dublin,IE,Ireland,53.33945062,-6.279378564,Entire home/apt,2,1,1,1,$135.00 
Cosy & modern 2-bed apt close to city centre,IE,Ireland,53.33448571,-6.274427765,Entire home/apt,4,1,2,2,$115.00 
Heart of Dublin - New full Apt +,IE,Ireland,53.35137521,-6.250625076,Entire home/apt,5,2,2,2,$140.00 
City Centre Apartment by the River,IE,Ireland,53.34778986,-6.263396351,Entire home/apt,4,1,1,2,$95.00 
Best Location! Penthouse Room in Temple Bar Dublin,IE,Ireland,53.34427459,-6.269753815,Private room,2,1,1,1,$29.00 
The Oscar Wilde studio for 2  - city ctr 10 min,IE,Ireland,53.35765699,-6.292299526,Entire home/apt,2,1,1,1,$92.00 
Victorian  City Centre 3 Storey Hse,IE,Ireland,53.32274831,-6.262449272,Entire home/apt,7,2.5,4,6,$300.00 
Spacious Attic Room in North Dublin City,IE,Ireland,53.39188912,-6.161606936,Private room,3,1,1,2,$70.00 
Terraced 19th century house,IE,Ireland,53.35406807,-6.288276193,Entire home/apt,4,1,2,2,$200.00 
Apartment in Dublin 2 City Centre,IE,Ireland,53.33784853,-6.240717932,Entire home/apt,4,1,2,2,$90.00 
Rathgar accommodation,IE,Ireland,53.31484571,-6.276758422,Private room,2,1,1,2,$50.00 
"Attractive location close to the city, lovely room",IE,Ireland,53.33292234,-6.261153319,Private room,2,1,1,1,$40.00 
Modern Room in Great Location,IE,Ireland,53.33817262,-6.23202521,Private room,2,1,1,1,$69.00 
Quiet house in convenient location,IE,Ireland,53.35234597,-6.287021156,Entire home/apt,2,1,1,1,$100.00 
Two Story House for Fun in Dublin City,IE,Ireland,53.39182983,-6.227458203,Entire home/apt,11,2,2,4,$220.00 
Two Neighbor Apts-Sleeps 8-4Min Walk to Temple Bar,IE,Ireland,53.34210522,-6.263378925,Entire home/apt,8,2,2,4,$375.00 
#9 - One bedroom flat,IE,Ireland,53.32425675,-6.26610606,Private room,2,1,1,1,$79.00 
"Amazing Double Room Apt. City Center, St Patricks",IE,Ireland,53.33830612,-6.273418688,Entire home/apt,2,1,1,1,$70.00 
Bright Cosy DOUBLE BEDROOM right in CITY CENTRE,IE,Ireland,53.35336207,-6.259575477,Private room,2,1,1,1,$50.00 
Cosy house close to Dublins Heart,IE,Ireland,53.3590057,-6.282790798,Entire home/apt,4,1,2,4,$119.00 
Chateau de Jimmy in Beaumont Dublin,IE,Ireland,53.39162114,-6.230126663,Private room,2,2,1,1,$34.00 
Sweet Place,IE,Ireland,53.33386014,-6.275886746,Entire home/apt,2,1,1,1,$110.00 
1 Bed Modern Apartment in Dublin City Centre,IE,Ireland,53.35345041,-6.25486877,Entire home/apt,3,1,1,2,$100.00 
Double and Twin room Combo,IE,Ireland,53.37063045,-6.316397325,Entire home/apt,4,1,2,3,$120.00 
Cosy Flat Shared B3 - In the heart of City Centre,IE,Ireland,53.35818632,-6.249500775,Shared room,1,1,1,1,$25.00 
The house in front of Croke Park,IE,Ireland,53.35801617,-6.252879708,Entire home/apt,2,1,1,1,$361.00 
2 Bedroom Apartment 5 min walk from Temple Bar,IE,Ireland,53.35034422,-6.270039912,Entire home/apt,8,1,2,4,$120.00 
"Charming 2 bed hse, City Centre, D4",IE,Ireland,53.34021925,-6.232276404,Entire home/apt,4,1,2,2,$129.00 
Modern cozy flat room near 3Arena,IE,Ireland,53.35317421,-6.229550865,Private room,2,1,1,1,$60.00 
Georgian charm in the city centre,IE,Ireland,53.33591754,-6.266801134,Private room,2,3,1,1,$65.00 
One bedroom apartment,IE,Ireland,53.32723813,-6.266678308,Entire home/apt,2,1,1,1,$70.00 
